plays,total_yards,yards_per_play,rush_pass_ratio,turnover_diff,avg_epa,fg_made,fg_missed,first_downs,win
88,476,5.409090294421557,0.5111109975308894,4,-0.0535977019042029,88,88,23.0,0
77,425,5.519479802664961,0.6578945637119569,2,-0.10851172059356425,77,77,24.0,0
81,312,3.8518513763146447,0.6486484733382504,0,-0.10228416773047966,81,81,21.0,1
70,413,5.899999157142977,0.687499785156317,4,-0.3159551114459736,70,70,24.0,0
105,600,5.714285170068079,0.8913041540643143,2,0.12423734912410418,105,105,33.0,1
64,326,5.0937492041016865,0.6538459023669606,2,0.012895136286880188,64,64,14.0,0
89,430,4.831460131296614,0.8055553317901856,7,-0.5620367324696733,89,89,23.0,0
82,349,4.256097041939385,0.9999996774194589,4,-0.19644705255887712,82,82,22.0,1
76,421,5.5394729553325055,0.7499997916667245,3,-0.13887408324277298,76,76,23.0,0
69,376,5.4492745725689025,0.6451610822061026,0,-0.11739023150724329,69,69,16.0,1
82,508,6.195121195716927,0.540540394448542,4,-0.15390072333117907,82,82,25.0,0
83,476,5.73493906807963,1.5652167107753432,0,0.03322846716687758,83,83,21.0,1
61,351,5.754097417361079,0.38235282871975623,2,-0.271186097929549,61,61,21.0,0
92,480,5.217390737240137,1.212120844811865,4,0.020883703132756386,92,92,23.0,1
81,450,5.555554869684584,0.7368419113573916,2,-0.005184351107233112,81,81,26.0,1
69,287,4.159419687040625,0.9642853698980822,0,-0.01715685750667946,69,69,19.0,0
78,513,6.5769222337279185,0.5135133747261149,4,-0.08110569907497825,78,78,21.0,0
92,724,7.8695643620038735,0.9999997142857958,2,0.16848345454212407,92,92,26.0,1
69,575,8.33333212560404,0.8888885596709039,0,0.3738287144842882,69,69,18.0,1
93,586,6.301074591282302,0.6888887358025031,2,0.09923365538237673,93,93,27.0,0
90,421,4.677777258024749,0.38636354855373894,3,-0.12095797671057458,90,90,26.0,0
80,289,3.6124995484375564,0.7352939013841466,1,-0.09756377980656374,80,80,20.0,1
76,392,5.157894058171834,0.9354835691988487,3,0.045124825715648464,76,76,22.0,0
64,396,6.1874990332032755,0.8076919970415396,5,-0.04459311766041374,64,64,17.0,0
81,541,6.679011521109689,0.9444441820988382,3,0.10879742799838236,81,81,26.0,1
80,333,4.162499479687565,0.4615383431952966,2,-0.255081996571707,80,80,25.0,0
86,502,5.837208623580392,0.8157892590028265,4,-0.1717961365341375,86,86,25.0,0
74,396,5.351350628195861,0.6896549346017466,0,-0.10609798936881677,74,74,17.0,1
69,446,6.463767179164177,0.6785711862245764,3,0.04759435180724896,69,69,18.0,0
92,598,6.4999992934783375,0.41071421237246203,1,0.04879821480517818,92,92,29.0,1
85,474,5.576469932180008,0.8648646311176672,3,0.02334435024805595,85,85,23.0,0
84,524,6.23809449546494,0.6111109413580718,2,0.07029361242501313,84,84,24.0,1
81,509,6.283949841487674,1.2333329222223592,2,0.1717770106039479,81,81,25.0,1
84,471,5.60714218962593,0.5952379535147729,3,0.09062507453682912,84,84,28.0,0
81,440,5.432098094802704,1.064515785640069,4,-0.17999842379546555,81,81,25.0,0
74,350,4.72972909057715,0.7586204280619213,2,0.008924297446371231,74,74,17.0,1
85,405,4.764705321799374,1.4583327256946976,4,0.0019316168851616603,85,85,25.0,1
87,542,6.229884341392604,0.43902428316480896,2,-0.04015384102406177,87,87,26.0,0
80,472,5.899999262500092,0.7058821453287807,3,0.07491380645297341,80,80,23.0,1
87,542,6.229884341392604,0.45454535123969286,5,-0.01769107966472826,87,87,26.0,0
98,440,4.489795460224953,0.9047616893424548,2,-0.02760053146858663,98,98,34.0,0
70,275,3.9285708673470188,0.8461535207101843,0,0.012921513908887808,70,70,17.0,1
93,471,5.06451558446069,0.40816318200751384,1,-0.10181029549729677,93,93,27.0,0
72,413,5.736110314429123,1.318181219008537,2,-0.06447278800634697,72,72,20.0,1
82,519,6.329267520821034,0.8529409256056101,4,0.2244517854768488,82,82,23.0,1
97,646,6.6597931278563784,0.40384607618344687,4,-0.08915901426653891,97,97,25.0,0
92,503,5.467390710066227,0.6749998312500421,3,0.130906360499262,92,92,23.0,1
82,594,7.243901555621761,0.7647056574395125,2,0.10795500365591779,82,82,22.0,0
65,332,5.107691521893612,0.6774191363164076,3,-0.09991358286343065,65,65,19.0,0
81,419,5.172838867550757,0.8333331018519161,2,-0.04212367564221836,81,81,26.0,1
84,522,6.214284974489884,1.1290318938606794,2,0.015205975988322754,84,84,23.0,1
97,515,5.3092778031672365,0.35849049839801916,3,-0.13147785042896232,97,97,25.0,0
88,505,5.738635711518669,0.571428435374182,3,-0.04555007258123444,88,88,27.0,0
78,466,5.974358208415614,1.0357139158164586,2,0.11155353482783156,78,78,21.0,1
75,391,5.213332638222314,0.41463404521120845,1,0.1100996539609325,75,75,22.0,1
73,382,5.232875995496439,0.5675674141709691,2,0.06345539326395466,73,73,23.0,0
71,270,3.8028163658005116,0.6451610822061026,3,-0.2340021996408005,71,71,20.0,0
91,519,5.7032960765608705,0.9230766863905931,1,0.06681483590695682,91,91,27.0,1
81,463,5.7160486770310275,1.071428188775647,3,0.18298222508634068,81,81,21.0,1
89,624,7.011235167276947,0.44680841557267753,3,0.11449299213736416,89,89,27.0,0
76,599,7.881577910318696,0.9666663444445519,4,0.06082639017095572,76,76,24.0,1
85,538,6.3294110200692915,0.6341461867936129,0,0.0551290120928936,85,85,22.0,0
53,472,8.905658697045528,0.4583331423611907,1,0.36292899545680796,53,53,14.0,1
100,508,5.07999949200005,1.5312495214845243,2,0.18229329547078424,100,100,28.0,0
82,569,6.939023544021519,0.7567565522279588,1,0.20091301271423465,82,82,27.0,1
69,408,5.91304262129817,0.8214282780613292,4,-0.2504578571376598,69,69,21.0,0
77,395,5.129869463653316,0.4749998812500297,0,-0.003631973126275466,77,77,22.0,1
75,507,6.759999098666786,0.8484845913683056,1,-0.008544874223118242,75,75,18.0,0
95,392,4.126315355124699,0.9230766863905931,1,0.12731672939488528,95,95,27.0,1
75,504,6.719999104000119,0.33333325396827285,3,0.09696747690476036,75,75,28.0,0
75,550,7.333332355555686,0.6111109413580718,2,0.07550293722284941,75,75,24.0,0
80,503,6.287499214062598,0.8749997265625854,1,0.2140831767214709,80,80,24.0,1
97,573,5.907215885854032,0.5531913716614103,1,0.06551300501578372,97,97,23.0,1
76,396,5.210525630193996,1.0399995840001663,2,-0.05280557005443049,76,76,20.0,0
61,414,6.786884133297683,0.5517239476813973,3,-0.05319187067167434,61,61,16.0,0
97,525,5.41237057604427,0.8043476512287714,0,0.15487725506762706,97,97,27.0,1
77,338,4.389609819531192,1.318181219008537,2,-0.12681023851938017,77,77,18.0,0
77,505,6.558440706696012,0.6944442515432634,2,0.15779741160095112,77,77,20.0,1
82,489,5.963413906900743,1.3599994560002175,0,0.1933222974789196,82,82,21.0,1
88,572,6.49999926136372,0.9166664120371076,3,-0.06438963192331922,88,88,28.0,0
91,459,5.043955489675221,1.6785708290818468,0,0.07305351315605431,91,91,30.0,1
51,199,3.9019600192235253,0.33333320987658893,1,-0.38170338586697494,51,51,14.0,0
82,396,4.829267703747841,0.5945944338933962,1,-0.16741384696933986,82,82,26.0,0
87,405,4.655171878715876,1.0967738397503743,2,0.14595246225254205,87,87,26.0,1
77,473,6.142856345083591,0.9642853698980822,5,-0.006645363934725597,77,77,21.0,1
90,469,5.21111053209883,0.63636349173557,3,-0.06615434998125741,90,90,24.0,0
85,379,4.458823004844352,0.9032255150885435,3,-0.18096219138764316,85,85,23.0,1
87,423,4.862068406658803,0.810810591672813,3,-0.2591198840654577,87,87,24.0,0
83,404,4.867469293075988,1.8333325694447629,1,0.021444743459292644,83,83,24.0,1
62,257,4.145160621748286,0.9999995652175804,5,-0.33489727370542477,62,62,19.0,0
83,407,4.9036138670344736,0.9687496972657195,2,-0.10539259910189225,83,83,24.0,0
76,425,5.5921045273546675,0.7999997714286367,1,0.03623770959637802,76,76,20.0,1
89,446,5.011235391996023,0.21052627885503877,5,-0.14451631856940794,89,89,26.0,0
81,564,6.962962103338012,0.8333331018519161,2,0.07325046590627823,81,81,24.0,1
68,478,7.02941073096901,0.42857130612248395,4,-0.1622125244898151,68,68,22.0,0
85,497,5.847058135640219,0.8571426122449679,0,0.03914498371665402,85,85,28.0,1
69,400,5.797100609115853,0.7142854591837646,2,0.24712073183877728,69,69,10.0,1
103,631,6.126212997455049,0.5416665538194679,2,-0.05057166171478626,103,103,31.0,0
99,626,6.323231684522052,0.6444443012345997,3,-0.1580063522404113,99,99,30.0,0
102,542,5.31372496924265,0.6874998567708631,2,-0.1727672859030546,102,102,27.0,1
88,458,5.204544863119902,1.6521731947073066,2,-0.03775161536047647,88,88,23.0,1
77,333,4.324674763029251,0.6666664646465258,2,-0.3585790439738494,77,77,21.0,0
81,468,5.777777064471967,0.5116277879935376,2,0.1936982997439293,81,81,23.0,1
90,438,4.866666125925986,0.37499992187501624,2,-0.07352362830600007,90,90,27.0,0
89,543,6.10112290998619,0.6923075147929448,1,0.178013248531043,89,89,24.0,1
85,480,5.647058159169628,0.399999920000016,3,-0.07164802116187038,85,85,25.0,0
87,352,4.045976546439477,0.7647056574395125,5,-0.10509162787482162,87,87,21.0,0
90,455,5.055554993827223,0.8918916508400943,2,0.019050611171874836,90,90,26.0,1
81,509,6.283949841487674,0.3541665928819598,3,-0.021384832090985916,81,81,28.0,0
84,432,5.142856530612318,0.777777561728455,1,0.09719785551133533,84,84,26.0,1
73,323,4.424656928129187,1.3636357438019346,2,-0.2975202028236684,73,73,21.0,0
73,346,4.739725378119811,1.2916661284724464,5,-0.24726093190876883,73,73,22.0,1
68,410,6.029410878027812,0.6296293964335569,4,-0.25540935624652084,68,68,17.0,0
89,451,5.067415160964589,1.913042646503197,3,0.07723544114288365,89,89,25.0,1
81,383,4.72839447797599,0.9374997070313414,2,-0.09365230201603043,81,81,27.0,1
71,283,3.985914931561277,0.9999996296297669,4,-0.3173150244946647,71,71,20.0,0
90,440,4.888888345679073,0.5681816890496161,3,-0.10341829400574279,90,90,25.0,0
